enterprise_id,treatment_285,ent_running,Gender,BlockCode,_weight,age_entrepreneur,CIBILscore,NumberofHouseholdmembers,HighestEducation,Religion,Community,MaritalStatus,OwnRentedHouse,TypeofDwelling,CAPBeneficiary,Typeofownership,Existingbusiness,Category_of_enterprise,Vehicle,Water,Equipmentavailability,Skilledlaboravailability,ECP_Score,HouseholdIncome
e_1150,0,0,Male,B064,3,39,650 to 750,1,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Kutcha House,Yes,Individual/Sole Proprietary,Existing,GREEN,0,Available,Yes,Yes,60,25000
e_1153,0,1,Male,B089,,39,650 to 750,2,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,100000,Available,No,Yes,50,72000
e_1154,0,0,Female,B113,1,35,650 to 750,3,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,New,GREEN,80000,Available,Yes,Yes,45,700000
e_1155,0,1,Female,B113,,34,650 to 750,3,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,GREEN,90000,Available,Yes,Yes,50,150000
e_1156,0,0,Female,B003,,38,750 to 900,1,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,50000,Available,No,Yes,40,50000
e_1157,0,0,Female,B091,,34,650 to 750,1,Middle-   6th to 7th Standard,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,WHITE,75000,Available,No,Yes,55,20000
e_1158,0,0,Male,B068,1,44,750 to 900,4,Secondary - 8th to 10th Standard,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,ORANGE,335000,Available,Yes,Yes,50,9000
e_116,0,1,Female,B019,3,39,300 to 550,4,Graduate,Hindu,MBC/DNC,Married,Own,Pucca House,Yes,Individual/Sole Proprietary,Existing,WHITE,50000,Not Available,No,Yes,35,45000
e_1160,0,0,Male,B094,5,38,650 to 750,3,Secondary - 8th to 10th Standard,Hindu,BC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,New,ORANGE,60000,Available,No,Yes,55,74000
e_1161,0,0,Female,B108,4,22,650 to 750,2,Graduate,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,50000,Available,No,Yes,35,150000
e_1162,0,1,Female,B100,,37,550 to 650,1,Senior Secondary - 11th to 12th  ,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,WHITE,0,Available,Yes,Yes,50,145000
e_1165,0,1,Female,B095,4,34,650 to 750,2,Graduate,Hindu,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,GREEN,80000,Available,Yes,Yes,50,461000
