"id","personid","pred_inS","pred_inS_alt","pred_inS_drop"
"e_1299","e_1299","0.388550734556193","0.398209148072909","0.388550734556193"
"e_13","e_13","0.469428735494063","0.468186485153169","0.469428735494063"
"e_130","e_130","0.398906403968015","0.399795132727615","0.398906403968015"
"e_1300","e_1300","0.419381261707663","0.421278261827203","0.419381261707663"
"e_1302","e_1302","0.319549579342168","0.318107895984893","0.319549579342168"
"e_1303","e_1303","0.457789558285207","0.459329825438739","0.457789558285207"
"e_1304","e_1304","0.311403591133453","0.312503118461107","0.311403591133453"
"e_1307","e_1307","0.363663512000639","0.363021670478164","0.363663512000639"
"e_1308","e_1308","0.39906080006407","0.399255375610871","0.39906080006407"
"e_1309","e_1309","0.453024572339927","0.452923050720142","0.453024572339927"
"e_1310","e_1310","0.289317963290273","0.295660825150599","0.289317963290273"
"e_1311","e_1311","0.338020356318127","0.335811148558766","0.338020356318127"
"e_1316","e_1316","0.3273769415643","0.324110833965298","0.3273769415643"
"e_1317","e_1317","0.368927582878598","0.369040193643246","0.368927582878598"
"e_1319","e_1319","0.391922838989734","0.392848082592804","0.391922838989734"
"e_132","e_132","0.378697570934462","0.379998426324615","0.378697570934462"
"e_1321","e_1321","0.352334733230002","0.350968788343819","0.352334733230002"
"e_1323","e_1323","0.452245743096724","0.449076993648653","0.452245743096724"
"e_1324","e_1324","0.484317715555852","0.488082052010742","0.484317715555852"
"e_1326","e_1326","0.361590134446218","0.360548163936467","0.361590134446218"
"e_1327","e_1327","0.448404739040156","0.445825480129639","0.448404739040156"
"e_1328","e_1328","0.360418786587781","0.35971466512424","0.360418786587781"
"e_1333","e_1333","0.319831868925877","0.319244277794212","0.319831868925877"
"e_1334","e_1334","0.469533163473272","0.472840765151694","0.469533163473272"
